ticker,timestamp,last_processing_date,total_score,environment_score,social_score,governance_score,rating
MMM,2020-01-01,2025-03-14,34.53,12.6,12.7,9.23,D
MMM,2020-02-01,2025-03-14,34.53,12.6,12.7,9.23,D
MMM,2020-03-01,2025-03-14,33.54,12.6,12.55,8.39,D
MMM,2020-07-01,2025-03-14,34.75,12.79,13.89,8.07,D
MMM,2020-08-01,2025-03-14,34.75,12.79,13.89,8.07,D
MMM,2020-10-01,2025-03-14,34.86,12.79,14.0,8.07,D
MMM,2021-01-01,2025-03-14,34.86,12.79,14.0,8.07,D
MMM,2021-02-01,2025-03-14,35.24,12.79,14.0,8.45,D
MMM,2021-03-01,2025-03-14,35.24,12.79,14.0,8.45,D
MMM,2021-05-01,2025-03-14,34.88,13.2,13.6,8.08,D
MMM,2021-09-01,2025-03-14,34.88,13.2,13.6,8.08,D
MMM,2022-02-01,2025-03-14,34.88,13.2,13.6,8.08,D
MMM,2022-05-01,2025-03-14,33.61,12.33,13.56,7.72,D
MMM,2022-08-01,2025-03-14,33.61,12.33,13.56,7.72,D
MMM,2023-09-01,2025-03-14,37.35,17.22,13.59,6.54,D
MMM,2024-11-01,2025-03-14,40.71,17.19,16.69,6.84,E
MMM,2024-12-01,2025-03-14,42.86,19.53,16.82,6.51,E
MMM,2025-01-01,2025-03-14,42.86,19.53,16.82,6.51,E
MMM,2025-02-01,2025-03-14,42.86,19.53,16.82,6.51,E
MMM,2025-03-01,2025-03-14,42.86,19.53,16.82,6.51,E
ABT,2020-01-01,2025-03-14,30.62,3.74,15.31,11.58,D
ABT,2020-02-01,2025-03-14,30.63,3.74,15.31,11.58,D
ABT,2020-03-01,2025-03-14,31.26,3.74,15.94,11.58,D
ABT,2020-07-01,2025-03-14,29.83,2.98,16.21,10.63,C
ABT,2020-08-01,2025-03-14,29.83,2.98,16.21,10.63,C
ABT,2020-10-01,2025-03-14,29.85,2.98,16.21,10.65,C
ABT,2021-01-01,2025-03-14,29.85,2.98,16.21,10.65,C
ABT,2021-02-01,2025-03-14,29.85,2.98,16.21,10.65,C
ABT,2021-03-01,2025-03-14,29.85,2.98,16.21,10.65,C
ABT,2021-05-01,2025-03-14,29.98,3.11,16.21,10.65,C
ABT,2021-09-01,2025-03-14,25.96,3.03,13.54,9.39,C
ABT,2022-02-01,2025-03-14,25.96,3.03,13.54,9.39,C
ABT,2022-05-01,2025-03-14,25.96,3.03,13.54,9.39,C
ABT,2022-08-01,2025-03-14,24.98,3.03,13.59,8.36,C
ABT,2023-09-01,2025-03-14,24.83,2.27,14.24,8.33,C
ABT,2024-11-01,2025-03-14,22.21,1.81,13.84,6.56,C
ABT,2024-12-01,2025-03-14,22.21,1.81,13.84,6.56,C
ABT,2025-01-01,2025-03-14,22.21,1.81,13.84,6.56,C
ABT,2025-02-01,2025-03-14,21.62,1.81,13.77,6.05,C
ABT,2025-03-01,2025-03-14,21.62,1.81,13.77,6.05,C
ABBV,2020-01-01,2025-03-14,30.35,0.96,16.54,12.84,D
ABBV,2020-02-01,2025-03-14,30.35,0.96,16.54,12.84,D
